,category,id,latitude,longitude,general_category
0,british,70Q-Ll18zb4aglXXbUG7lw,51.50405773515,-0.192783395566043,British_Irish
1,british,MriFIF7b5TGXmBmrzMIS5w,51.5152346,-0.1217126,British_Irish
2,british,bJiVADMSTEKj0MjqiLrOPA,51.515378341447,-0.15823586449841,British_Irish
3,british,IBV7BsXnv2gX68nWUARhjw,51.512935,-0.139414,British_Irish
4,british,b8u_D0Qlp0-nqSC6O2fMNw,51.485833,-0.161966,British_Irish
5,british,hOLFwKg4-0FsCleJ4yoCXw,51.516178,-0.08094,British_Irish
6,british,3R0Klq1B1ESNTwqPfcsY-w,51.537442542029,-0.10682789450616,British_Irish
7,british,E32UWQyHYlSrBbRbtxPzKQ,51.5089417,-0.1937266,British_Irish
8,british,0B-ag3J18TatG9H9EQohGg,51.5134998914001,-0.12567396291297,British_Irish
9,british,Wjgxl0lSp_FRtzecbJ4FZQ,51.4925789,-0.1392194,British_Irish
10,british,-Ve2_hHfPczRX159xt0BCg,51.5143449,-0.107315,British_Irish
11,british,meHB5zqhVKuOQ3gacMlzBg,51.502163,-0.159966,British_Irish
12,british,teXPunKtpwj0NuttvPYhyQ,51.51350403679,-0.17119959969309,British_Irish
13,british,cPTTsuaofRzF0LZEopSICg,51.497252107095,-0.144083273162604,British_Irish
14,british,P3YeWO3ODeWmQVi-IilkAQ,51.520481,-0.101486,British_Irish
15,british,NyGG3SHQGrjmP1zoBLhubQ,51.519244332609,-0.19526811734486,British_Irish
16,british,ySM7A1ljKIthN6ckAYdN5g,51.4916975,-0.1412292,British_Irish
17,british,VomGBPMQALZLfKHCI8_jTg,51.511656071976,-0.17697194507093,British_Irish
18,british,cgkDnzaQvP9q-JHXd-ECcA,51.4905412,-0.1449144,British_Irish
19,british,ij6JgRnQmdXND4uokTFIdQ,51.508097,-0.110384,British_Irish
20,british,e5jPAqpCcIAsTtasUN5h2g,51.507617,-0.141012,British_Irish
21,british,JcO8N2mrooxEoFZTRiLRqw,51.4992491095565,-0.180797918037262,British_Irish
22,british,eNhwKJGzpgtziHJ_i9xrzg,51.522088,-0.140496,British_Irish
23,british,6tXkeZlisxTtdUsjDaTqaw,51.5187121017659,-0.154846859653053,British_Irish
24,british,nxxCu3Svrmp2cNvfufrdFw,51.4829113087309,-0.196470990454087,British_Irish
25,british,HntBHodgbw-vhW3MaCqbcw,51.505787326816,-0.198597460985184,British_Irish
26,british,rKwkCvsSfp8z7w1CmNnMMQ,51.505604,-0.099671,British_Irish
27,british,lMhErBByefchffCCf5fUjQ,51.5098472,-0.150917,British_Irish
28,british,YNduANMPzIVE8CzBH7YjEQ,51.4940143171,-0.13222007974201,British_Irish
29,british,VjHBht-AsSB8iw6bwhmaqA,51.5427479502402,-0.147851002323095,British_Irish
30,british,kvYMn-GCE9Qim94iZjFKkA,51.5132994,-0.0850051,British_Irish
31,british,vC0LrH1nBU6bgXdd6yMCog,51.5127562447879,-0.112786529265547,British_Irish
